granularity,period,factor,return,percentile,rank,is_best
week,2015-W17,gtja191/alpha_090,0.22186,0.5974,27,0
week,2015-W17,alpha101/alpha_067,0.17565,0.5091,28,0
week,2015-W17,alpha101/alpha_024,0.18052,0.4801,29,0
week,2015-W17,alpha101/alpha_023,0.17093,0.4559,30,0
week,2015-W17,qlib158/cntn5,0.15315,0.4546,31,0
week,2015-W17,gtja191/alpha_092,0.15177,0.4449,32,0
week,2015-W17,gtja191/alpha_037,0.15577,0.4433,33,0
week,2015-W17,alpha101/alpha_004,0.13665,0.4173,34,0
week,2015-W17,alpha101/alpha_080,0.12903,0.4,35,0
week,2015-W17,gtja191/alpha_006,0.11054,0.3666,36,0
week,2015-W17,alpha101/alpha_027,0.05961,0.2598,37,0
week,2015-W18,qlib158/vsumn20,0.46239,0.7826,1,1
week,2015-W18,qlib158/vma60,0.44294,0.7713,2,0
week,2015-W18,gtja191/alpha_001,0.4334,0.7638,3,0
week,2015-W18,gtja191/alpha_168,0.41696,0.7366,4,0
week,2015-W18,qlib158/vsumn30,0.40766,0.7268,5,0
week,2015-W18,alpha101/alpha_044,0.46721,0.7063,6,0
week,2015-W18,gtja191/alpha_041,0.35891,0.668,7,0
week,2015-W18,gtja191/alpha_016,0.34766,0.6648,8,0
week,2015-W18,gtja191/alpha_048,0.35988,0.6597,9,0
week,2015-W18,gtja191/alpha_090,0.33213,0.651,10,0
week,2015-W18,alpha101/alpha_088,0.33704,0.6477,11,0
week,2015-W18,alpha101/alpha_002,0.34756,0.6455,12,0
week,2015-W18,qlib158/vsumn60,0.33557,0.6413,13,0
week,2015-W18,qlib158/vma10,0.33469,0.639,14,0
week,2015-W18,qlib158/ma10,0.32551,0.6244,15,0
week,2015-W18,alpha101/alpha_015,0.42803,0.6177,16,0
week,2015-W18,alpha101/alpha_026,0.31318,0.6152,17,0
week,2015-W18,alpha101/alpha_016,0.2818,0.5789,18,0
