granularity,period,factor,return,percentile,rank,is_best
week,2025-W45,momentum,0.11617,0.9166,1,1
week,2025-W45,rz_buy,0.00139,0.6817,2,0
week,2025-W45,lowvol,-0.01617,0.5992,3,0
week,2025-W45,reversal,-0.03883,0.456,4,0
week,2025-W46,momentum,0.02859,0.7113,1,1
week,2025-W46,lowvol,-0.0351,0.569,2,0
week,2025-W46,rz_buy,-0.0334,0.5638,3,0
week,2025-W46,reversal,-0.04377,0.512,4,0
week,2025-W47,lowvol,-0.03745,0.487,1,1
week,2025-W47,rz_buy,-0.04277,0.452,2,0
week,2025-W47,reversal,-0.04685,0.435,3,0
week,2025-W47,momentum,-0.1289,0.1214,4,0
week,2025-W48,momentum,0.06341,0.7222,1,1
week,2025-W48,reversal,0.03585,0.6459,2,0
week,2025-W48,rz_buy,0.02389,0.5777,3,0
week,2025-W48,lowvol,-0.01235,0.4051,4,0
week,2025-W49,momentum,0.1022,0.7765,1,1
week,2025-W49,reversal,0.03322,0.6038,2,0
week,2025-W49,rz_buy,0.01998,0.5592,3,0
week,2025-W49,lowvol,-0.02459,0.3144,4,0
week,2025-W50,momentum,0.29539,0.9192,1,1
week,2025-W50,reversal,0.05262,0.5254,2,0
week,2025-W50,rz_buy,0.05096,0.5176,3,0
week,2025-W50,lowvol,0.00893,0.2932,4,0
week,2025-W51,momentum,0.19853,0.6224,1,1
week,2025-W51,reversal,0.10044,0.5703,2,0
week,2025-W51,rz_buy,0.06559,0.4241,3,0
week,2025-W51,lowvol,-0.00628,0.1287,4,0
week,2025-W52,momentum,0.18921,0.7273,1,1
week,2025-W52,reversal,0.1567,0.7186,2,0
week,2025-W52,lowvol,0.03041,0.2852,3,0
week,2025-W52,rz_buy,0.01444,0.2185,4,0
week,2026-W01,momentum,0.17244,0.8195,1,1
week,2026-W01,lowvol,0.06821,0.5562,2,0
week,2026-W01,rz_buy,0.06081,0.5214,3,0
week,2026-W01,reversal,0.06167,0.509,4,0
week,2026-W02,momentum,0.08586,0.6764,1,1
week,2026-W02,lowvol,0.04684,0.6443,2,0
week,2026-W02,reversal,0.03279,0.5793,3,0
week,2026-W02,rz_buy,0.01293,0.4874,4,0
week,2026-W03,lowvol,0.02788,0.6184,1,1
week,2026-W03,rz_buy,-0.00048,0.4911,2,0
week,2026-W03,reversal,-0.00942,0.4437,3,0
week,2026-W03,momentum,-0.02738,0.3861,4,0
week,2026-W04,rz_buy,0.02883,0.6197,1,1
week,2026-W04,lowvol,0.00595,0.5403,2,0
week,2026-W04,reversal,-0.0069,0.4776,3,0
week,2026-W04,momentum,-0.00816,0.475,4,0
week,2026-W05,rz_buy,0.03601,0.7373,1,1
week,2026-W05,lowvol,0.00607,0.6619,2,0
week,2026-W05,reversal,-0.01952,0.5536,3,0
week,2026-W05,momentum,-0.16422,0.0679,4,0
week,2026-W06,lowvol,0.0331,0.645,1,1
week,2026-W06,rz_buy,0.02764,0.6044,2,0
week,2026-W06,reversal,-0.04167,0.3178,3,0
week,2026-W06,momentum,-0.08498,0.1673,4,0
week,2026-W07,lowvol,0.00141,0.7577,1,1
week,2026-W07,reversal,-0.04373,0.5971,2,0
week,2026-W07,rz_buy,-0.04807,0.5754,3,0
week,2026-W07,momentum,-0.10009,0.3397,4,0
week,2026-W09,lowvol,-0.00123,0.8255,1,1
week,2026-W09,rz_buy,-0.08232,0.6016,2,0
week,2026-W09,momentum,-0.0967,0.5016,3,0
week,2026-W09,reversal,-0.12285,0.4091,4,0
week,2026-W10,lowvol,-0.01122,0.7554,1,1
week,2026-W10,rz_buy,-0.01442,0.7274,2,0
week,2026-W10,reversal,-0.05359,0.5926,3,0
week,2026-W10,momentum,-0.05488,0.5728,4,0
week,2026-W11,reversal,-0.00651,0.7724,1,1
week,2026-W11,rz_buy,-0.02484,0.7153,2,0
week,2026-W11,lowvol,-0.03298,0.686,3,0
week,2026-W11,momentum,-0.08151,0.4129,4,0
week,2026-W12,reversal,0.03145,0.6922,1,1
week,2026-W12,rz_buy,-0.00081,0.582,2,0
week,2026-W12,lowvol,-0.02095,0.4882,3,0
week,2026-W12,momentum,-0.02131,0.4504,4,0
week,2026-W13,reversal,0.13427,0.7785,1,1
week,2026-W13,rz_buy,0.06528,0.5843,2,0
week,2026-W13,momentum,0.06818,0.5775,3,0
week,2026-W13,lowvol,0.01123,0.3587,4,0
week,2026-W14,momentum,0.23295,0.8779,1,1
week,2026-W14,reversal,0.16966,0.8081,2,0
week,2026-W14,rz_buy,0.03426,0.4683,3,0
week,2026-W14,lowvol,-0.0055,0.3205,4,0
week,2026-W15,momentum,0.31105,0.8843,1,1
week,2026-W15,reversal,0.17642,0.7568,2,0
week,2026-W15,rz_buy,0.04539,0.4523,3,0
week,2026-W15,lowvol,0.0121,0.3354,4,0
week,2026-W16,momentum,0.2542,0.8646,1,1
week,2026-W16,reversal,0.04185,0.5644,2,0
week,2026-W16,lowvol,-0.00551,0.4268,3,0
week,2026-W16,rz_buy,-0.02338,0.3653,4,0
week,2026-W17,momentum,0.12246,0.7941,1,1
week,2026-W17,lowvol,-0.02184,0.5133,2,0
week,2026-W17,rz_buy,-0.04399,0.4344,3,0
week,2026-W17,reversal,-0.05722,0.3913,4,0
week,2026-W18,momentum,0.05414,0.7596,1,1
week,2026-W18,lowvol,-0.01588,0.6301,2,0
week,2026-W18,rz_buy,-0.0405,0.5222,3,0
week,2026-W18,reversal,-0.0917,0.3492,4,0
week,2026-W19,momentum,0.20258,0.9298,1,1
week,2026-W19,lowvol,-0.03997,0.6972,2,0
week,2026-W19,rz_buy,-0.08334,0.5744,3,0
week,2026-W19,reversal,-0.18345,0.1562,4,0
week,2026-W20,momentum,0.03611,0.8345,1,1
week,2026-W20,lowvol,-0.04418,0.7632,2,0
week,2026-W20,rz_buy,-0.09695,0.618,3,0
week,2026-W20,reversal,-0.13978,0.4635,4,0
week,2026-W21,momentum,0.09395,0.8581,1,1
week,2026-W21,lowvol,-0.01285,0.7538,2,0
week,2026-W21,reversal,-0.065,0.5937,3,0
week,2026-W21,rz_buy,-0.1074,0.4669,4,0
week,2026-W22,momentum,0.09481,0.8192,1,1
week,2026-W22,lowvol,-0.03373,0.7021,2,0
week,2026-W22,reversal,-0.04645,0.6573,3,0
week,2026-W22,rz_buy,-0.06775,0.6128,4,0
week,2026-W23,momentum,0.04712,0.7362,1,1
week,2026-W23,reversal,-0.02603,0.629,2,0
week,2026-W23,lowvol,-0.04202,0.6037,3,0
week,2026-W23,rz_buy,-0.07934,0.4756,4,0
week,2026-W24,lowvol,-0.01344,0.6787,1,1
week,2026-W24,rz_buy,-0.03015,0.6168,2,0
week,2026-W24,reversal,-0.05864,0.5251,3,0
week,2026-W24,momentum,-0.07395,0.4684,4,0
week,2026-W25,lowvol,0.00824,0.7847,1,1
week,2026-W25,rz_buy,-0.04277,0.6362,2,0
week,2026-W25,reversal,-0.06379,0.5506,3,0
week,2026-W25,momentum,-0.23878,0.1868,4,0
week,2026-W26,lowvol,0.03871,0.8745,1,1
week,2026-W26,rz_buy,-0.01672,0.756,2,0
week,2026-W26,reversal,-0.11995,0.518,3,0
